hour,bus,P_thermal_MW,P_solar_MW,P_wind_MW,P_demand_MW,P_curtailment_MW
21,11,0.0,40.16128574,285.551315,1252.78082,0.0
21,12,1500.0,0.426849355,441.6270215,1859.896338,0.0
21,13,4575.8103531045135,4.049345215,70.69077739,1479.988091,0.0
21,14,1100.0,12.93547569,103.7806554,2088.283872,0.0
21,15,100.0,0.103802002,2.868452337,1127.47369,0.0
21,16,3000.0,1.281324156,17.31837444,2501.40286,0.0
21,17,0.0,22.23296607,207.929649,737.7246763,0.0
21,18,100.0,104.9830169,223.6695024,839.2710553,0.0
21,19,1060.0,4.049345215,70.69077739,2606.116747,0.0
22,1,1330.0,0.0,220.5341304,1138.989038,0.0
22,2,3400.0,0.0,109.7849616,1569.315401,0.0
22,3,0.0,0.0,109.7849616,1074.600087,0.0
22,4,500.0,0.0,0.111557098,2872.744937,0.0
22,5,1199.5661314751546,0.0,441.9926613,1478.777648,0.0
22,6,2906.1312799855136,0.0,17.47367474,1013.414253,0.0
22,7,450.0,0.0,205.0149164,1216.587992,0.0
22,8,2069.410964838293,0.0,109.7849616,1472.96284,0.0
22,9,1999.999999999995,0.0,10.93996719,820.8591326,0.0
22,10,120.0,0.0,205.0149164,1196.129552,0.0
22,11,0.0,0.0,281.5484912,1241.429501,0.0
22,12,1499.9999999999995,0.0,435.4363474,1843.044008,0.0
22,13,4546.291624923043,0.0,69.69984263,1466.578071,0.0
22,14,1099.9999999999995,0.0,102.3258707,2069.362146,0.0
22,15,100.0,0.0,2.82824272,1117.257766,0.0
22,16,2999.9999999999995,0.0,17.07560757,2478.737905,0.0
22,17,0.0,0.0,205.0149164,731.0402285,0.0
22,18,100.0,0.0,220.5341304,831.6665061,0.0
22,19,1060.0,0.0,69.69984263,2582.502989,0.0
23,1,1330.0,0.0,221.5611009,1074.200357,0.0
23,2,3399.999999999999,0.0,110.2962018,1480.04863,0.0
23,3,0.0,0.0,110.2962018,1013.474018,0.0
23,4,499.99999999999966,0.0,0.11207659,2709.335679,0.0
23,5,580.0,0.0,444.0509069,1394.660901,0.0
23,6,2954.5924270643795,0.0,17.55504513,955.7685957,0.0
23,7,450.0,0.0,205.9696179,1147.38528,0.0
23,8,1243.1199788241663,0.0,110.2962018,1389.176855,0.0
23,9,1999.9999999999932,0.0,10.99091179,774.1665146,0.0
23,10,119.99999999999929,0.0,205.9696179,1128.09057,0.0
23,11,0.0,0.0,282.8595898,1170.813738,0.0
23,12,1500.0,0.0,437.464062,1738.206836,0.0
23,13,4325.487594145461,0.0,70.02441679,1383.155268,0.0
23,14,1099.9999999999995,0.0,102.8023759,1951.651405,0.0
23,15,100.0,0.0,2.841413116,1053.705218,0.0
23,16,3000.0,0.0,17.15512426,2337.740799,0.0
23,17,0.0,0.0,205.9696179,689.4567452,0.0
23,18,99.99999999999983,0.0,221.5611009,784.3591365,0.0
23,19,1060.0,0.0,70.02441679,2435.603454,0.0
24,1,1330.0,0.0,226.7737541,991.4888271,0.0
24,2,3368.2576652598877,0.0,112.8911332,1366.087499,0.0
24,3,0.0,0.0,112.8911332,935.4383089,0.0
24,4,500.0,0.0,0.114713409,2500.721617,0.0
24,5,0.0,0.0,454.4980629,1287.274475,0.0
24,6,3079.9889484806085,0.0,17.9680615,882.1761019,0.0
